"No.","Time","Source","Destination","Protocol","Length","Channel","PHY type","MAC timestamp","Channel flags","Data rate","Orthogonal Frequency-Division Multiplexing (OFDM)","Gaussian Frequency Shift Keying (GFSK)","Complementary Code Keying (CCK)","Dynamic CCK-OFDM","MCS index","Info"
"1","0.000000","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175826724940","0x00a0","1","False","False","True","False","","Beacon frame, SN=3975, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
"2","0.014421","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175826739400","0x00a0","1","False","False","True","False","","Beacon frame, SN=3788, FN=0, Flags=........C, BI=100, SSID=Himanshu"
"3","0.060123","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175826785131","0x00a0","1","False","False","True","False","","Beacon frame, SN=2798, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"4","0.102423","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175826827352","0x00a0","1","False","False","True","False","","Beacon frame, SN=3976, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
"5","0.116794","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175826841803","0x00a0","1","False","False","True","False","","Beacon frame, SN=3790, FN=0, Flags=........C, BI=100, SSID=Himanshu"
"6","0.162519","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175826887536","0x00a0","1","False","False","True","False","","Beacon frame, SN=2799, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"7","0.204808","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175826929738","0x00a0","1","False","False","True","False","","Beacon frame, SN=3977, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
"8","0.219187","Netgear_13:e0:88","Broadcast","802.11","313","1","802.11b","175826944197","0x00a0","1","False","False","True","False","","Beacon frame, SN=3791, FN=0, Flags=........C, BI=100, SSID=Himanshu"
"9","0.264916","D-LinkIn_fd:0a:18","Broadcast","802.11","311","1","802.11b","175826989932","0x00a0","1","False","False","True","False","","Beacon frame, SN=2800, FN=0, Flags=........C, BI=100, SSID=dlinkaga"
"10","0.307219","D-LinkIn_43:72:64","Broadcast","802.11","323","1","802.11b","175827032147","0x00a0","1","False","False","True","False","","Beacon frame, SN=3978, FN=0, Flags=........C, BI=100, SSID=Bas Segaar 2.4GHz"
