"No.","Time","Source","Destination","Protocol","Length","Channel","PHY type","MAC timestamp","Channel flags","Data rate","Orthogonal Frequency-Division Multiplexing (OFDM)","Gaussian Frequency Shift Keying (GFSK)","Complementary Code Keying (CCK)","Dynamic CCK-OFDM","MCS index","Info"
"1","0.000000000","Tp-LinkT_37:a3:84","IntelCor_5f:d3:27","802.11","379","1","802.11b","5378263759","0x00a0","1","False","False","True","False","","Probe Response, SN=3506, FN=0, Flags=........, BI=100, SSID=Nirali"
"2","0.108999390","Tp-LinkT_37:a3:84","IntelCor_5f:d3:27","802.11","379","2","802.11b","5378372760","0x00a0","1","False","False","True","False","","Probe Response, SN=3508, FN=0, Flags=........, BI=100, SSID=Nirali"
"3","0.124852864","Tp-LinkT_37:a3:84","Broadcast","802.11","269","2","802.11b","5378389795","0x00a0","1","False","False","True","False","","Beacon frame, SN=3509, FN=0, Flags=........, BI=100, SSID=Nirali"
"4","0.137553293","Tp-LinkT_37:a3:84","IntelCor_5f:d3:27","802.11","379","3","802.11b","5378401094","0x00a0","1","False","False","True","False","","Probe Response, SN=3510, FN=0, Flags=....R..., BI=100, SSID=Nirali"
"5","0.209530941","Skyworth_23:2f:96","IntelCor_5f:d3:27","802.11","422","6","802.11b","5378472778","0x00a0","1","False","False","True","False","","Probe Response, SN=3054, FN=0, Flags=........, BI=100, SSID=Skyworth_333398"
"6","0.228221605","Skyworth_10:5a:e5","Broadcast","802.11","301","6","802.11b","5378492670","0x00a0","1","False","False","True","False","","Beacon frame, SN=1083, FN=0, Flags=........, BI=100, SSID=NEERAJ"
"7","0.247423857","Skyworth_23:2f:96","Broadcast","802.11","310","6","802.11b","5378511904","0x00a0","1","False","False","True","False","","Beacon frame, SN=3055, FN=0, Flags=........, BI=100, SSID=Skyworth_333398"
"8","0.301819169","D-LinkIn_51:cc:a2","Broadcast","802.11","320","6","802.11b","5378566149","0x00a0","1","False","False","True","False","","Beacon frame, SN=3213, FN=0, Flags=........, BI=100, SSID=hathway"
"9","0.387560226","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","10","802.11b","5378652191","0x00a0","1","False","False","True","False","","Probe Response, SN=1770, FN=0, Flags=....R..., BI=100, SSID=Honor 8"
"10","0.410584285","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","11","802.11b","5378675313","0x00a0","1","False","False","True","False","","Probe Response, SN=1771, FN=0, Flags=........, BI=100, SSID=Honor 8"
"11","0.517010942","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","12","802.11b","5378781790","0x00a0","1","False","False","True","False","","Probe Response, SN=1773, FN=0, Flags=........, BI=100, SSID=Honor 8"
"12","43.004771496","Tp-LinkT_37:a3:84","IntelCor_5f:d3:27","802.11","379","1","802.11b","5421264713","0x00a0","1","False","False","True","False","","Probe Response, SN=3992, FN=0, Flags=....R..., BI=100, SSID=Nirali"
"13","43.026563574","Tp-LinkT_37:a3:84","Broadcast","802.11","269","1","802.11b","5421287829","0x00a0","1","False","False","True","False","","Beacon frame, SN=3993, FN=0, Flags=........, BI=100, SSID=Nirali"
"14","43.104345848","Tp-LinkT_37:a3:84","IntelCor_5f:d3:27","802.11","379","2","802.11b","5421364324","0x00a0","1","False","False","True","False","","Probe Response, SN=3994, FN=0, Flags=........, BI=100, SSID=Nirali"
"15","43.130649795","Tp-LinkT_37:a3:84","Broadcast","802.11","269","3","802.11b","5421391942","0x00a0","1","False","False","True","False","","Beacon frame, SN=3995, FN=0, Flags=........, BI=100, SSID=Nirali"
"16","43.202640428","Skyworth_23:2f:96","IntelCor_5f:d3:27","802.11","422","6","802.11b","5421462283","0x00a0","1","False","False","True","False","","Probe Response, SN=3496, FN=0, Flags=........, BI=100, SSID=Skyworth_333398"
"17","43.232035161","Skyworth_10:5a:e5","Broadcast","802.11","301","6","802.11b","5421492925","0x00a0","1","False","False","True","False","","Beacon frame, SN=1535, FN=0, Flags=........, BI=100, SSID=NEERAJ"
"18","43.250956367","Skyworth_23:2f:96","Broadcast","802.11","310","6","802.11b","5421511985","0x00a0","1","False","False","True","False","","Beacon frame, SN=3497, FN=0, Flags=........, BI=100, SSID=Skyworth_333398"
"19","43.305598378","D-LinkIn_51:cc:a2","Broadcast","802.11","320","6","802.11b","5421566389","0x00a0","1","False","False","True","False","","Beacon frame, SN=3669, FN=0, Flags=........, BI=100, SSID=hathway"
"20","43.393846550","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","10","802.11b","5421654806","0x00a0","1","False","False","True","False","","Probe Response, SN=2225, FN=0, Flags=....R..., BI=100, SSID=Honor 8"
"21","43.409811630","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","11","802.11b","5421670947","0x00a0","1","False","False","True","False","","Probe Response, SN=2226, FN=0, Flags=........, BI=100, SSID=Honor 8"
"22","43.455538773","D-LinkIn_4c:47:a5","Broadcast","802.11","182","11","802.11b","5421717423","0x00a0","1","False","False","True","False","","Beacon frame, SN=620, FN=0, Flags=........, BI=100, SSID=PREETU"
"23","43.457701407","MS-NLB-PhysServer-26_11:f0:b5:0b","Broadcast","802.11","262","11","802.11b","5421718953","0x00a0","1","False","False","True","False","","Beacon frame, SN=2227, FN=0, Flags=........, BI=100, SSID=Honor 8"
"24","43.516449334","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","12","802.11b","5421777441","0x00a0","1","False","False","True","False","","Probe Response, SN=2228, FN=0, Flags=........, BI=100, SSID=Honor 8"
"25","96.040111495","Tp-LinkT_37:a3:84","IntelCor_5f:d3:27","802.11","379","1","802.11b","5474297076","0x00a0","1","False","False","True","False","","Probe Response, SN=749, FN=0, Flags=........, BI=100, SSID=Nirali"
"26","96.165915553","Tp-LinkT_37:a3:84","Broadcast","802.11","269","2","802.11b","5474424066","0x00a0","1","False","False","True","False","","Beacon frame, SN=751, FN=0, Flags=........, BI=100, SSID=Nirali"
"27","96.246800585","Skyworth_10:5a:e5","IntelCor_5f:d3:27","802.11","413","6","802.11b","5474503529","0x00a0","1","False","False","True","False","","Probe Response, SN=2088, FN=0, Flags=........, BI=100, SSID=NEERAJ"
"28","96.250348993","Skyworth_23:2f:96","IntelCor_5f:d3:27","802.11","422","6","802.11b","5474507126","0x00a0","1","False","False","True","False","","Probe Response, SN=4045, FN=0, Flags=........, BI=100, SSID=Skyworth_333398"
"29","96.268663869","Skyworth_10:5a:e5","Broadcast","802.11","301","6","802.11b","5474526576","0x00a0","1","False","False","True","False","","Beacon frame, SN=2089, FN=0, Flags=........, BI=100, SSID=NEERAJ"
"30","96.287495846","Skyworth_23:2f:96","Broadcast","802.11","310","6","802.11b","5474545367","0x00a0","1","False","False","True","False","","Beacon frame, SN=4046, FN=0, Flags=........, BI=100, SSID=Skyworth_333398"
"31","96.371004129","Skyworth_10:5a:e5","Broadcast","802.11","301","7","802.11b","5474628983","0x00a0","1","False","False","True","False","","Beacon frame, SN=2090, FN=0, Flags=........, BI=100, SSID=NEERAJ"
"32","96.429466155","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","10","802.11b","5474687426","0x00a0","1","False","False","True","False","","Probe Response, SN=2779, FN=0, Flags=....R..., BI=100, SSID=Honor 8"
"33","96.447926114","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","11","802.11b","5474705890","0x00a0","1","False","False","True","False","","Probe Response, SN=2780, FN=0, Flags=........, BI=100, SSID=Honor 8"
"34","96.491661749","D-LinkIn_4c:47:a5","Broadcast","802.11","182","11","802.11b","5474750584","0x00a0","1","False","False","True","False","","Beacon frame, SN=1192, FN=0, Flags=........, BI=100, SSID=PREETU"
"35","96.494536888","MS-NLB-PhysServer-26_11:f0:b5:0b","Broadcast","802.11","262","11","802.11b","5474752842","0x00a0","1","False","False","True","False","","Beacon frame, SN=2781, FN=0, Flags=........, BI=100, SSID=Honor 8"
"36","96.563667037","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","12","802.11b","5474821675","0x00a0","1","False","False","True","False","","Probe Response, SN=2782, FN=0, Flags=....R..., BI=100, SSID=Honor 8"
"37","159.050391766","Skyworth_23:2f:96","IntelCor_5f:d3:27","802.11","422","1","802.11b","5537304569","0x00a0","1","False","False","True","False","","Probe Response, SN=604, FN=0, Flags=........, BI=100, SSID=Skyworth_333398"
"38","159.053018626","Skyworth_23:2f:96","Broadcast","802.11","310","1","802.11b","5537308215","0x00a0","1","False","False","True","False","","Beacon frame, SN=605, FN=0, Flags=........, BI=100, SSID=Skyworth_333398"
"39","159.151919987","Skyworth_23:2f:96","Broadcast","802.11","310","1","802.11b","5537407299","0x00a0","1","False","False","True","False","","Beacon frame, SN=606, FN=0, Flags=........, BI=100, SSID=Skyworth_333398"
"40","159.157454613","Tp-LinkT_37:a3:84","IntelCor_5f:d3:27","802.11","379","2","802.11b","5537412051","0x00a0","1","False","False","True","False","","Probe Response, SN=1481, FN=0, Flags=........, BI=100, SSID=Nirali"
"41","159.338283395","Skyworth_10:5a:e5","Broadcast","802.11","301","6","802.11b","5537593564","0x00a0","1","False","False","True","False","","Beacon frame, SN=2748, FN=0, Flags=........, BI=100, SSID=NEERAJ"
"42","159.459003349","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","11","802.11b","5537714568","0x00a0","1","False","False","True","False","","Probe Response, SN=3467, FN=0, Flags=........, BI=100, SSID=Honor 8"
"43","159.461889645","MS-NLB-PhysServer-26_11:f0:b5:0b","Broadcast","802.11","262","11","802.11b","5537717730","0x00a0","1","False","False","True","False","","Beacon frame, SN=3468, FN=0, Flags=........, BI=100, SSID=Honor 8"
"44","221.826868633","Tp-LinkT_37:a3:84","IntelCor_5f:d3:27","802.11","379","1","802.11b","5600079251","0x00a0","1","False","False","True","False","","Probe Response, SN=2204, FN=0, Flags=........, BI=100, SSID=Nirali"
"45","221.895449936","Tp-LinkT_37:a3:84","Broadcast","802.11","269","1","802.11b","5600148922","0x00a0","1","False","False","True","False","","Beacon frame, SN=2205, FN=0, Flags=........, BI=100, SSID=Nirali"
"46","221.935039739","Tp-LinkT_37:a3:84","IntelCor_5f:d3:27","802.11","379","2","802.11b","5600187269","0x00a0","1","False","False","True","False","","Probe Response, SN=2206, FN=0, Flags=........, BI=100, SSID=Nirali"
"47","222.071100132","D-LinkIn_51:cc:a2","Broadcast","802.11","320","6","802.11b","5600324264","0x00a0","1","False","False","True","False","","Beacon frame, SN=1412, FN=0, Flags=........, BI=100, SSID=hathway"
"48","222.100161225","Skyworth_10:5a:e5","Broadcast","802.11","301","6","802.11b","5600353345","0x00a0","1","False","False","True","False","","Beacon frame, SN=3403, FN=0, Flags=........, BI=100, SSID=NEERAJ"
"49","222.236393404","MS-NLB-PhysServer-26_11:f0:b5:0b","IntelCor_5f:d3:27","802.11","256","11","802.11b","5600489785","0x00a0","1","False","False","True","False","","Probe Response, SN=38, FN=0, Flags=........, BI=100, SSID=Honor 8"
